#           k/h    P           
   0.104820E+02   0.198013E+00
   0.106938E+02   0.187911E+00
   0.109098E+02   0.178318E+00
   0.111302E+02   0.169209E+00
   0.113550E+02   0.160560E+00
   0.115844E+02   0.152349E+00
   0.118184E+02   0.144553E+00
   0.120572E+02   0.137151E+00
   0.123007E+02   0.130125E+00
   0.125492E+02   0.123454E+00
   0.128027E+02   0.117122E+00
   0.130614E+02   0.111112E+00
   0.133252E+02   0.105406E+00
   0.135944E+02   0.999905E-01
   0.138691E+02   0.948504E-01
   0.141492E+02   0.899718E-01
   0.144351E+02   0.853416E-01
   0.147267E+02   0.809473E-01
   0.150242E+02   0.767770E-01
   0.153277E+02   0.728194E-01
   0.156373E+02   0.690638E-01
   0.159532E+02   0.655001E-01
   0.162755E+02   0.621185E-01
   0.166043E+02   0.589098E-01
   0.169397E+02   0.558652E-01
   0.172819E+02   0.529766E-01
   0.176310E+02   0.502359E-01
   0.179872E+02   0.476356E-01
   0.183505E+02   0.451687E-01
   0.187212E+02   0.428284E-01
   0.190994E+02   0.406083E-01
   0.194853E+02   0.385021E-01
   0.198789E+02   0.365043E-01
   0.202805E+02   0.346091E-01
   0.206902E+02   0.328115E-01
   0.211081E+02   0.311064E-01
   0.215346E+02   0.294892E-01
   0.219696E+02   0.279553E-01
   0.224134E+02   0.265005E-01
   0.228662E+02   0.251207E-01
   0.233281E+02   0.238122E-01
   0.237994E+02   0.225713E-01
   0.242802E+02   0.213944E-01
   0.247707E+02   0.202784E-01
   0.252710E+02   0.192202E-01
   0.257816E+02   0.182167E-01
   0.263024E+02   0.172651E-01
   0.268337E+02   0.163629E-01
   0.273758E+02   0.155074E-01
   0.279288E+02   0.146963E-01
   0.284930E+02   0.139273E-01
   0.290686E+02   0.131982E-01
   0.296558E+02   0.125069E-01
   0.302549E+02   0.118516E-01
   0.308661E+02   0.112303E-01
   0.314897E+02   0.106414E-01
   0.321258E+02   0.100830E-01
   0.327748E+02   0.955380E-02
   0.334369E+02   0.905212E-02
   0.341123E+02   0.857657E-02
   0.348014E+02   0.812582E-02
   0.355045E+02   0.769857E-02
   0.362217E+02   0.729362E-02
   0.369535E+02   0.690980E-02
   0.377000E+02   0.654602E-02
   0.384616E+02   0.620125E-02
   0.392386E+02   0.587450E-02
   0.400312E+02   0.556483E-02
   0.408399E+02   0.527137E-02
   0.416649E+02   0.499326E-02
   0.425066E+02   0.472972E-02
   0.433653E+02   0.447998E-02
   0.442413E+02   0.424333E-02
   0.451350E+02   0.401908E-02
   0.460469E+02   0.380660E-02
   0.469770E+02   0.360526E-02
   0.479261E+02   0.341450E-02
   0.488942E+02   0.323375E-02
   0.498820E+02   0.306250E-02
   0.508896E+02   0.290025E-02
   0.519177E+02   0.274653E-02
   0.529665E+02   0.260090E-02
   0.540365E+02   0.246294E-02
   0.551281E+02   0.233223E-02
   0.562417E+02   0.220841E-02
   0.573779E+02   0.209112E-02
   0.585370E+02   0.198001E-02
   0.597195E+02   0.187476E-02
   0.609260E+02   0.177506E-02
   0.621568E+02   0.168063E-02
   0.634124E+02   0.159118E-02
   0.646934E+02   0.150645E-02
   0.660003E+02   0.142620E-02
   0.673336E+02   0.135019E-02
   0.686938E+02   0.127820E-02
   0.700816E+02   0.121002E-02
   0.714973E+02   0.114545E-02
   0.729416E+02   0.108429E-02
   0.744151E+02   0.102637E-02
   0.759184E+02   0.971520E-03
   0.774521E+02   0.919576E-03
   0.790167E+02   0.870385E-03
   0.806129E+02   0.823804E-03
   0.822415E+02   0.779694E-03
